confirmed_cases,confirmed_deaths,majority_vaccinated,population_vaccinated
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
0,0,NV,0
2,0,NV,0
2,0,NV,0
2,0,NV,0
2,0,NV,0
3,0,NV,0
4,0,NV,0
4,0,NV,0
5,0,NV,0
5,0,NV,0
9,0,NV,0
9,0,NV,0
12,0,NV,0
17,0,NV,0
28,0,NV,0
33,0,NV,0
46,0,NV,0
50,0,NV,0
50,0,NV,0
55,0,NV,0
55,0,NV,0
60,0,NV,0
62,0,NV,0
64,0,NV,0
64,0,NV,0
71,0,NV,0
74,0,NV,0
77,0,NV,0
82,0,NV,0
86,0,NV,0
92,0,NV,0
92,0,NV,0
92,0,NV,0
92,0,NV,0
93,1,NV,0
95,2,NV,0
96,2,NV,0
96,2,NV,0
97,2,NV,0
97,2,NV,0
97,2,NV,0
100,2,NV,0
100,2,NV,0
100,2,NV,0
100,2,NV,0
100,2,NV,0
100,2,NV,0
100,2,NV,0
100,2,NV,0
100,2,NV,0
100,2,NV,0
100,2,NV,0
100,2,NV,0
100,2,NV,0
101,2,NV,0
101,2,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
101,3,NV,0
103,3,NV,0
103,3,NV,0
103,3,NV,0
104,3,NV,0
104,3,NV,0
105,3,NV,0
